CODE,Name,Latin,license notice HTML (https://lizenzhinweisgenerator.de/),Photolink,license notice for plain text 
EURHE,Sunbittern,Eurypyga helias,"<a href=""https://www.flickr.com/people/65695019@N07"">Bernard DUPONT</a>, <a href=""https://commons.wikimedia.org/wiki/File:Sunbittern_(Eurypyga_helias)_calling.jpg"">Sunbittern (Eurypyga helias) calling</a>, <a href=""https://creativecommons.org/licenses/by-sa/2.0/legalcode"" rel=""license"">CC BY-SA 2.0</a>",https://commons.wikimedia.org/wiki/File:Sunbittern_(Eurypyga_helias)_calling.jpg,"Bernard DUPONT (https://commons.wikimedia.org/wiki/File:Sunbittern_(Eurypyga_helias)_calling.jpg), „Sunbittern (Eurypyga helias) calling“, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
FALPE,Peregrine falcon,Falco peregrinus,,,
FULGL,Northern fulmar,Fulmarus glacialis,"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:111_-_NORTHERN_FULMAR_(9-06)_aleutians,_ak_(2)_(8724571516).jpg"">111 - NORTHERN FULMAR (9-06) aleutians, ak (2) (8724571516)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>","https://commons.wikimedia.org/wiki/File:111_-_NORTHERN_FULMAR_(9-06)_aleutians,_ak_(2)_(8724571516).jpg","ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:111_-_NORTHERN_FULMAR_(9-06)_aleutians,_ak_(2)_(8724571516).jpg), „111 - NORTHERN FULMAR (9-06) aleutians, ak (2) (8724571516)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
GALGA,Chicken,Gallus gallus domesticus,"<a href=""https://commons.wikimedia.org/wiki/User:AnRo0002"">AnRo0002</a>, <a href=""https://commons.wikimedia.org/wiki/File:20161005Gallus_gallus_domesticus3.jpg"">20161005Gallus gallus domesticus3</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>",https://commons.wikimedia.org/wiki/File:20161005Gallus_gallus_domesticus3.jpg,"AnRo0002 (https://commons.wikimedia.org/wiki/File:20161005Gallus_gallus_domesticus3.jpg), „20161005Gallus gallus domesticus3“, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
GAVST,Red-throated loon,Gavia stellata,"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:090_-_RED-THROATED_LOON_(3-25-10)_morro_bay,_slo_co,_ca_(3)_(8720115139).jpg"">090 - RED-THROATED LOON (3-25-10) morro bay, slo co, ca (3) (8720115139)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>","https://commons.wikimedia.org/wiki/File:090_-_RED-THROATED_LOON_(3-25-10)_morro_bay,_slo_co,_ca_(3)_(8720115139).jpg","ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:090_-_RED-THROATED_LOON_(3-25-10)_morro_bay,_slo_co,_ca_(3)_(8720115139).jpg), „090 - RED-THROATED LOON (3-25-10) morro bay, slo co, ca (3) (8720115139)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
GEOFO,Medium ground-finch,Geospiza fortis,"<a href=""https://commons.wikimedia.org/wiki/User:Daderot"">Daderot</a>, <a href=""https://commons.wikimedia.org/wiki/File:Geospiza_fortis_-_Hessisches_Landesmuseum_Darmstadt_-_Darmstadt,_Germany_-_DSC00099.jpg"">Geospiza fortis - Hessisches Landesmuseum Darmstadt - Darmstadt, Germany - DSC00099</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>","https://commons.wikimedia.org/wiki/File:Geospiza_fortis_-_Hessisches_Landesmuseum_Darmstadt_-_Darmstadt,_Germany_-_DSC00099.jpg","Daderot (https://commons.wikimedia.org/wiki/File:Geospiza_fortis_-_Hessisches_Landesmuseum_Darmstadt_-_Darmstadt,_Germany_-_DSC00099.jpg), „Geospiza fortis - Hessisches Landesmuseum Darmstadt - Darmstadt, Germany - DSC00099“, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
HALAL,White-tailed eagle,Haliaeetus albicilla,"<a href=""https://commons.wikimedia.org/wiki/User:Gin_tonic"">Tokumi Ohsaka</a>, <a href=""https://commons.wikimedia.org/wiki/File:Wiki-c-ojirowashi.jpg"">Wiki-c-ojirowashi</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>",https://commons.wikimedia.org/wiki/File:Wiki-c-ojirowashi.jpg,"Tokumi Ohsaka (https://commons.wikimedia.org/wiki/File:Wiki-c-ojirowashi.jpg), „Wiki-c-ojirowashi“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self"
HALLE,Bald eagle,Haliaeetus leucocephalus,"<a href=""https://commons.wikimedia.org/wiki/User:Ken_Thomas"">Ken Thomas</a>, <a href=""https://commons.wikimedia.org/wiki/File:Bald_Eagle-27527-9.jpg"">Bald Eagle-27527-9</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>",https://commons.wikimedia.org/wiki/File:Bald_Eagle-27527-9.jpg,"Ken Thomas (https://commons.wikimedia.org/wiki/File:Bald_Eagle-27527-9.jpg), „Bald Eagle-27527-9“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self"
LEPDI,Cuckoo-roller,Leptosomus discolor,"anonymous, <a href=""https://commons.wikimedia.org/wiki/File:Leptosomus_discolor_-_1796-1808_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16700269.tif"">Leptosomus discolor - 1796-1808 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ16700269</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>",https://commons.wikimedia.org/wiki/File:Leptosomus_discolor_-_1796-1808_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16700269.tif,"anonymous (https://commons.wikimedia.org/wiki/File:Leptosomus_discolor_-_1796-1808_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16700269.tif), „Leptosomus discolor - 1796-1808 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ16700269“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old"
MANVI,Golden-collared manakin,Manacus vitellinus,"<a href=""https://www.flickr.com/people/30818542@N04"">Francesco Veronesi</a> from Italy, <a href=""https://commons.wikimedia.org/wiki/File:Golden-collared_Manakin_-_Darien_-_Panama_(48446346507).jpg"">Golden-collared Manakin - Darien - Panama (48446346507)</a>, <a href=""https://creativecommons.org/licenses/by-sa/2.0/legalcode"" rel=""license"">CC BY-SA 2.0</a>",https://commons.wikimedia.org/wiki/File:Golden-collared_Manakin_-_Darien_-_Panama_(48446346507).jpg,"Francesco Veronesi from Italy (https://commons.wikimedia.org/wiki/File:Golden-collared_Manakin_-_Darien_-_Panama_(48446346507).jpg), „Golden-collared Manakin - Darien - Panama (48446346507)“, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
