CODE;Name;Latin;text;greek text;license notice HTML (https://lizenzhinweisgenerator.de/);Photolink;license notice for plain text ;distribution;wingspan;weight;diet;genome_size
CALAN;Anna's hummingbird;Calypte anna;It lives in NW coasts of USA. It is considered as Least Concern in IUCN Red List.;"Ζει στις ΒΔ ακτές των ΗΠΑ. Αναφέρεται ως είδος ""ελάχιστης ανησυχίας"" στην Κόκκινη Λίστα της IUCN.";"<a href=""https://commons.wikimedia.org/wiki/User:Paddyspig"">Paddyspig</a>, <a href=""https://commons.wikimedia.org/wiki/File:Fem_Anna's_Hummingbird.jpg"">Fem Anna's Hummingbird</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Fem_Anna%27s_Hummingbird.jpg;Paddyspig (https://commons.wikimedia.org/wiki/File:Fem_Anna's_Hummingbird.jpg), „Fem Anna's Hummingbird“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;U.S.A.;12 cm;4,5 g;Nektar;12 mb
CARCR;Red-legged seriema;Cariama cristata;It is a terrestrial bird of prey, living in central and eastern Latin America. Its song is used to music tracks. It is considered as Least Concern in IUCN Red List.;"Χερσαίο αρπακτικό πουλί που ζει στην κεντρο-ανατολική Λατινική Αμερική.
Η φωνή του χρησιμοποιείται σε μουσικά κομμάτια. Αναφέρεται ως είδος ""ελάχιστης ανησυχίας"" στην Κόκκινη Λίστα της IUCN.";"<a href=""https://commons.wikimedia.org/wiki/User:Jebulon"">Jebulon</a>, <a href=""https://commons.wikimedia.org/wiki/File:Cariama_cristata_Schönbrunn_Vienna.jpg"">Cariama cristata Schönbrunn Vienna</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:Cariama_cristata_Sch%C3%B6nbrunn_Vienna.jpg;Jebulon (https://commons.wikimedia.org/wiki/File:Cariama_cristata_Schönbrunn_Vienna.jpg), „Cariama cristata Schönbrunn Vienna“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;Latin America;60 cm;1,5-2,2 kg;Omnivorous;unknown
CATAU;Turkey vulture;Cathartes aura;It is one of the New World vultures. It is a scavenger and feeds almost exclusively on carrion. It lives in North America, Caribbean and South America. It is considered as Least Concern in IUCN Red List.;"Πτωματοφάγο πουλί που ανήκει στους γύπες του Νέου Κόσμου. Ζει στη Β. και στη Ν. Αμερική. Αναφέρεται ως είδος ""ελάχιστης ανησυχίας"" στην Κόκκινη Λίστα της IUCN.";"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:VULTURE,_TURKEY_(4-6-11)_patagonia_lake_state_park,_scc,_az_-01_(5595821123).jpg"">VULTURE, TURKEY (4-6-11) patagonia lake state park, scc, az -01 (5595821123)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:VULTURE,_TURKEY_(4-6-11)_patagonia_lake_state_park,_scc,_az_-01_(5595821123).jpg;ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:VULTURE,_TURKEY_(4-6-11)_patagonia_lake_state_park,_scc,_az_-01_(5595821123).jpg), „VULTURE, TURKEY (4-6-11) patagonia lake state park, scc, az -01 (5595821123)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;N. and S. America;~180 cm;1,5 kg;Carrion;2910134 mb
CHAPE;Chimney swift;Chaetura pelagica;It lives in N. and S. America. It is threatened by the loss of its nesting habitats. It is considered as vulnerable species in IUCN Red List.;"Ζει στη Β. και στη Ν. Αμερική. Απειλείται λόγω καταστροφής των ενδιατημάτων φωλιάσματός του. Αναφέρεται ως ""τρωτό"" στην Κόκκινη Λίστα της IUCN.";"<a href=""https://www.flickr.com/people/9765210@N03"">Dominic Sherony</a>, <a href=""https://commons.wikimedia.org/wiki/File:ChaeturaPelagica.jpg"">ChaeturaPelagica</a>, <a href=""https://creativecommons.org/licenses/by-sa/2.0/legalcode"" rel=""license"">CC BY-SA 2.0</a>";https://commons.wikimedia.org/wiki/File:ChaeturaPelagica.jpg;Dominic Sherony (https://commons.wikimedia.org/wiki/File:ChaeturaPelagica.jpg), „ChaeturaPelagica“, https://creativecommons.org/licenses/by-sa/2.0/legalcode;N. and S. America;27-30 cm;17-30 g;Invertabrates;13 mb
CHAVO;Killdeer;Charadrius vociferus;It is a monogamous species, native to neartic and neotropical regions. It is considered as Least Concern in IUCN Red List. ;"Είναι μονογαμικό είδος, αυτόχθον σε νεαρκτικές και νεοτροπικές περιοχές. Αναφέρεται ως είδος ""ελάχιστης ανησυχίας"" στην Κόκκινη Λίστα της IUCN.";"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:KILLDEER_(7-31-07)_-2_(968338570).jpg"">KILLDEER (7-31-07) -2 (968338570)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:KILLDEER_(7-31-07)_-2_(968338570).jpg;ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:KILLDEER_(7-31-07)_-2_(968338570).jpg), „KILLDEER (7-31-07) -2 (968338570)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;America;23-27 cm;72 and 121 g ;Beetles and flies;unknown
CHEMY;Green sea turtle;Chelonia mydas;A worldwide spread sea turtle. It must come to the surface to breathe. It lays its eggs on land. It is considered as endagered-threatened species.;Θαλάσσια χελώνα με παγκόσμια εξάπλωση. Ως ερπετό, πρέπει να ανεβαίνει στην επιφάνεια του νερού για να αναπνεύσει. Γεννάει τα αυγά της στη στεριά. Θεωρείται ως κινδυνεύον - απειλούμενο είδος.;"<a href=""https://commons.wikimedia.org/wiki/User:Delam2"">Delam2</a>, <a href=""https://commons.wikimedia.org/wiki/File:T7a.jpg"">T7a</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:T7a.jpg;Delam2 (https://commons.wikimedia.org/wiki/File:T7a.jpg), „T7a“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;Atlantic, Pacific and Indian Oceans;;68–190 kg ;Seagrass;2910148 mb
CHLUN;MacQueen's bustard;Chlamydotis macqueenii;It lives in Asia, west of the Sinai Peninsula, extending from across Kazakhstan to Mongolia. It is considered as vulnerable species in IUCN Red List.;"Ζει στην Ασία, δυτικά από τη χερσόνησο του Σινά και εκτείνεται από το Καζακστάν έως τη Μογγολία. Αναφέρεται ως ""τρωτό"" στην Κόκκινη Λίστα της IUCN.";"<a href=""https://en.wikipedia.org/wiki/en:Henrik_Gr%C3%B8nvold"">Henrik Grönvold</a> creator QS:P170,Q1314154, <a href=""https://commons.wikimedia.org/wiki/File:Chlamydotis_macqueenii_1921.jpg"">Chlamydotis macqueenii 1921</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Chlamydotis_macqueenii_1921.jpg;Henrik Grönvold creator QS:P170,Q1314154 (https://commons.wikimedia.org/wiki/File:Chlamydotis_macqueenii_1921.jpg), „Chlamydotis macqueenii 1921“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old;Asia, west from the Sinai Peninsula, from Kazakhstan to Mongolia; ~140 cm;1,2-3,2 kg;Invertabrates;2910135 mb
COLST;Speckled mousebird;Colius striatus;It lives in central & S. Africa. It feed on fruits, berries, leaves, buds, flowers, nectar and seeds. It is considered as Least Concern in IUCN Red List. ;"Ζει στην κεντρική και νότια Αφρική. Τρέφεται με φρούτα, φύλλα, άνθη, νέκταρ και σπόρους. Αναφέρεται ως είδος ""ελάχιστης ανησυχίας"" στην Κόκκινη Λίστα της IUCN.";"Veli Pohjonen, <a href=""https://commons.wikimedia.org/wiki/File:2009-0630-ColiStri-Ethiopia-BahirDar-029.jpg"">2009-0630-ColiStri-Ethiopia-BahirDar-029</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:2009-0630-ColiStri-Ethiopia-BahirDar-029.jpg;Veli Pohjonen (https://commons.wikimedia.org/wiki/File:2009-0630-ColiStri-Ethiopia-BahirDar-029.jpg), „2009-0630-ColiStri-Ethiopia-BahirDar-029“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;central and south Africa;?;50-57 g;Frugivore (fruits, berries, leaves, buds, flowers, nectar, seeds);unknown
COLLI;Pigeon;Columba livia domestica;Worldwide spread. It is also domesticated.;Είναι το κοινό περιστέρι και έχει παγκόσμια εξάπλωση.;"<a href=""https://commons.wikimedia.org/wiki/User:AnRo0002"">AnRo0002</a>, <a href=""https://commons.wikimedia.org/wiki/File:20161016Columba_livia_domestica1.jpg"">20161016Columba livia domestica1</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:20161016Columba_livia_domestica1.jpg;AnRo0002 (https://commons.wikimedia.org/wiki/File:20161016Columba_livia_domestica1.jpg), „20161016Columba livia domestica1“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;worldwide;60–68 cm;315–410 g;Pulses, grain, seeds, scraps of food scavenged in urban areas.;14 mb
CORBR;American crow;Corvus brachyrhynchos;It is the american crow. It is considered as Least Concern in IUCN Red List. ;"Είναι το αμερικανικό κοράκι. Αναφέρεται ως είδος ""ελάχιστης ανησυχίας"" στην Κόκκινη Λίστα της IUCN.";"DDWESQ, <a href=""https://commons.wikimedia.org/wiki/File:Corvus_BrachyrhynosI_2234.JPG"">Corvus BrachyrhynosI 2234</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Corvus_BrachyrhynosI_2234.JPG;DDWESQ (https://commons.wikimedia.org/wiki/File:Corvus_BrachyrhynosI_2234.JPG), „Corvus BrachyrhynosI 2234“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;America;85-100 cm;320-620g;Νuts, ggs;2910136 mb
